id;ifes;area;Nome;Mod;ano base;Nota;Docen;A1;A2;B1;B2;B3;B4;B5;C
10001018002P1;UNIR;BIOLOGIA EXPERIMENTAL;PARASITOLOGIA;Acad;2013;3;25;2;4;17;11;1;6;1;5
10001018002P1;UNIR;BIOLOGIA EXPERIMENTAL;PARASITOLOGIA;Acad;2014;3;22;0;3;9;17;5;1;4;9
10001018002P1;UNIR;BIOLOGIA EXPERIMENTAL;PARASITOLOGIA;Acad;2015;3;22;1;3;9;7;5;4;8;7
10001018002P1;UNIR;BIOLOGIA EXPERIMENTAL;PARASITOLOGIA;Acad;2016;3;20;0;0;11;10;3;2;2;6
10001018004P4;UNIR;DESENVOLVIMENTO REGIONAL E MEIO AMBIENTE;MEIO AMBIENTE E AGRÁRIAS;Acad;2013;4;38;9;13;24;13;11;13;0;0
10001018004P4;UNIR;DESENVOLVIMENTO REGIONAL E MEIO AMBIENTE;MEIO AMBIENTE E AGRÁRIAS;Acad;2014;4;37;9;8;17;5;18;12;7;1
10001018004P4;UNIR;DESENVOLVIMENTO REGIONAL E MEIO AMBIENTE;MEIO AMBIENTE E AGRÁRIAS;Acad;2015;4;30;4;1;12;9;22;5;3;1
10001018004P4;UNIR;DESENVOLVIMENTO REGIONAL E MEIO AMBIENTE;MEIO AMBIENTE E AGRÁRIAS;Acad;2016;4;29;2;4;6;4;9;5;2;1
10001018005P0;UNIR;GEOGRAFIA;GEOGRAFIA;Acad;2013;4;15;1;3;5;1;0;4;4;1
10001018005P0;UNIR;GEOGRAFIA;GEOGRAFIA;Acad;2015;4;19;2;3;24;1;0;8;6;9
10001018005P0;UNIR;GEOGRAFIA;GEOGRAFIA;Acad;2014;4;15;1;1;7;5;1;4;8;3
10001018005P0;UNIR;GEOGRAFIA;GEOGRAFIA;Acad;2016;4;16;0;13;5;2;2;2;3;1
10001018006P7;UNIR;ADMINISTRAÇÃO;ADMINISTRAÇÃO;Acad;2013;4;9;0;2;4;0;3;9;0;0
10001018006P7;UNIR;ADMINISTRAÇÃO;ADMINISTRAÇÃO;Acad;2014;4;12;0;3;1;3;6;6;3;2
10001018006P7;UNIR;ADMINISTRAÇÃO;ADMINISTRAÇÃO;Acad;2015;4;12;0;1;0;4;8;4;0;0
10001018006P7;UNIR;ADMINISTRAÇÃO;ADMINISTRAÇÃO;Acad;2016;4;12;0;1;1;0;4;3;0;0
10001018009P6;UNIR;PSICOLOGIA;PSICOLOGIA;Acad;2015;3;14;1;3;0;1;3;6;0;3
10001018009P6;UNIR;PSICOLOGIA;PSICOLOGIA;Acad;2013;3;14;0;4;0;1;3;0;0;0
10001018009P6;UNIR;PSICOLOGIA;PSICOLOGIA;Acad;2014;3;14;1;2;1;1;3;4;1;3
10001018009P6;UNIR;PSICOLOGIA;PSICOLOGIA;Acad;2016;3;13;0;3;0;1;4;8;2;2
10001018010P4;UNIR;LETRAS;LETRAS;Acad;2014;3;19;0;0;2;8;0;0;2;3
10001018010P4;UNIR;LETRAS;LETRAS;Acad;2013;3;19;0;0;1;6;0;0;1;2
10001018010P4;UNIR;LETRAS;LETRAS;Acad;2015;3;15;0;0;0;7;0;2;3;4
10001018010P4;UNIR;LETRAS;LETRAS;Acad;2016;3;15;0;0;0;4;1;1;1;2
10001018011P0;UNIR;EDUCAÇÃO;EDUCAÇÃO;Acad;2014;3;17;1;0;11;7;1;3;3;0
